PMID	title	date	location	doi
26871442	Hepatitis C Virus Resistance to Carbohydrate-Binding Agents.	2016	United States	10.1371/journal.pone.0149064
26869154	A Comparative Review of Animal Models of Middle East Respiratory SyndromeCoronavirus Infection.	2016 May	United States	10.1177/0300985815620845
26868624	Knowledge gaps in therapeutic and non-therapeutic research on the Middle Eastrespiratory syndrome.	2016 Feb	England	10.1016/S2213-2600(16)00007-2
26868298	Coronaviruses - drug discovery and therapeutic options.	2016 May	England	10.1038/nrd.2015.37
26867384	CAUSATIVE AGENTS OF SEVERE COMMUNITY ACQUIRED VIRAL PNEUMONIA AMONG CHILDREN INEASTERN THAILAND.	2015 Jul	Thailand	
26867177	Dysregulated Type I Interferon and Inflammatory Monocyte-Macrophage ResponsesCause Lethal Pneumonia in SARS-CoV-Infected Mice.	2016 Feb 10	United States	10.1016/j.chom.2016.01.007
26867172	SARS-CoV and IFN: Too Little, Too Late.	2016 Feb 10	United States	10.1016/j.chom.2016.01.012
26866060	Treatment strategies for Middle East respiratory syndrome coronavirus.	2016	England	
26861016	The Membrane Protein of Severe Acute Respiratory Syndrome Coronavirus Functionsas a Novel Cytosolic Pathogen-Associated Molecular Pattern To Promote BetaInterferon Induction via a Toll-Like-Receptor-Related TRAF3-IndependentMechanism.	2016 Feb 9	United States	10.1128/mBio.01872-15
26857507	Clinicopathologic, Immunohistochemical, and Ultrastructural Findings of a FatalCase of Middle East Respiratory Syndrome Coronavirus Infection in the United ArabEmirates, April 2014.	2016 Mar	United States	10.1016/j.ajpath.2015.10.024
28491411	Successful treatment of feline leishmaniosis using a combination of allopurinoland N-methyl-glucamine antimoniate.	2016 Jan-Jun	England	10.1177/2055116916630002
26855426	Cryo-electron microscopy structure of a coronavirus spike glycoprotein trimer.	2016 Mar 3	England	10.1038/nature16988
26855039	Middle East respiratory syndrome and severe acute respiratory syndrome.	2016 Feb	Netherlands	10.1016/j.coviro.2016.01.011
26854965	Fatal outcome of human coronavirus NL63 infection despite successful viralelimination by IFN-alpha in a patient with newly diagnosed ALL.	2016 Aug	England	10.1111/ejh.12744
26854339	Characterization of monoclonal antibodies against feline coronavirus accessoryprotein 7b.	2016 Feb 29	Netherlands	10.1016/j.vetmic.2015.12.009
26852031	Coronaviruses and the human airway: a universal system for virus-host interactionstudies.	2016 Feb 6	England	10.1186/s12985-016-0479-5
