PMID	title	date	location	doi
32061199	[Conventional respiratory support therapy for Severe Acute Respiratory Infections(SARI): Clinical indications and nosocomial infection prevention and control].	2020 Feb 16	China	10.3760/cma.j.issn.1001-0939.2020.0015
32061198	[Inhibitors of RAS Might Be a Good Choice for the Therapy of COVID-19 Pneumonia].	2020 Feb 16	China	10.3760/cma.j.issn.1001-0939.2020.0014
32061066	[Clinical features of 2019 novel coronavirus pneumonia in the early stage from afever clinic in Beijing].	2020 Feb 15	China	10.3760/cma.j.issn.1001-0939.2020.0013
32060933	2019_nCoV: Rapid classification of betacoronaviruses and identification oftraditional Chinese medicine as potential origin of zoonotic coronaviruses.	2020 Feb 14	England	10.1111/lam.13285
32060789	The First Disease X is Caused by a Highly Transmissible Acute RespiratorySyndrome Coronavirus.	2020 Feb 14	China	10.1007/s12250-020-00206-5
32060619	Imaging features of 2019 novel coronavirus pneumonia.	2020 Feb 14	Germany	10.1007/s00259-020-04720-2
32060015	Coronavirus: home testing pilot launched in London to cut hospital visits andambulance use.	2020 Feb 14	England	10.1136/bmj.m621
32059047	A realistic two-strain model for MERS-CoV infection uncovers the high risk forepidemic propagation.	2020 Feb 14	United States	10.1371/journal.pntd.0008065
32058570	Novel Coronavirus Infection in Hospitalized Infants Under 1 Year of Age in China.	2020 Feb 14	United States	10.1001/jama.2020.2131
32058086	Novel coronavirus: how the things are in Wuhan.	2020 Feb 11	England	10.1016/j.cmi.2020.02.005
32057788	Novel coronavirus, poor quarantine, and the risk of pandemic.	2020 Feb 11	England	10.1016/j.jhin.2020.02.002
32057769	The spike glycoprotein of the new coronavirus 2019-nCoV contains a furin-likecleavage site absent in CoV of the same clade.	2020 Feb 10	Netherlands	10.1016/j.antiviral.2020.104742
32057575	Recombinant infectious bronchitis coronavirus H120 with the spike protein S1 geneof the nephropathogenic IBYZ strain remains attenuated but induces protectiveimmunity.	2020 Feb 11	Netherlands	10.1016/j.vaccine.2020.01.001
32057299	The first 2019 novel coronavirus case in Nepal.	2020 Feb 10	United States	10.1016/S1473-3099(20)30067-0
32057212	[Recommendations for general surgery clinical practice in novel coronaviruspneumonia situation].	2020 Feb 14	China	10.3760/cma.j.issn.0529-5815.2020.0001
32057211	[An update on the epidemiological characteristics of novel coronaviruspneumoniaCOVID-19].	2020 Feb 14	China	10.3760/cma.j.issn.0254-6450.2020.02.002
32057210	[The prevention and control of a new coronavirus infection in department ofstomatology].	2020 Feb 14	China	10.3760/cma.j.issn.1002-0098.2020.0001
32057209	[Pharmacotherapeutics for the New Coronavirus Pneumonia].	2020 Feb 14	China	10.3760/cma.j.issn.1001-0939.2020.0012
32056407	Case of the Index Patient Who Caused Tertiary Transmission of COVID-19 Infectionin Korea: the Application of Lopinavir/Ritonavir for the Treatment of COVID-19Infected Pneumonia Monitored by Quantitative RT-PCR.	2020 Feb 17	Korea (South)	10.3346/jkms.2020.35.e79
32056397	Novel Coronavirus Pneumonia Outbreak in 2019: Computed Tomographic Findings inTwo Cases.	2020 Feb 11	Korea (South)	10.3348/kjr.2020.0078
32056396	Pneumonia Associated with 2019 Novel Coronavirus: Can Computed TomographicFindings Help Predict the Prognosis of the Disease?	2020 Feb 11	Korea (South)	10.3348/kjr.2020.0096
32056249	Overlapping and discrete aspects of the pathology and pathogenesis of theemerging human pathogenic coronaviruses SARS-CoV, MERS-CoV, and 2019-nCoV.	2020 Feb 13	United States	10.1002/jmv.25709
32056235	Does SARS-CoV-2 has a longer incubation period than SARS and MERS?	2020 Feb 13	United States	10.1002/jmv.25708
32056143	Non-influenza respiratory viruses in adult patients admitted with influenza-likeillness: a 3-year prospective multicenter study.	2020 Feb 13	Germany	10.1007/s15010-019-01388-1
32055945	Initial CT findings and temporal changes in patients with the novel coronaviruspneumonia (2019-nCoV): a study of 63 patients in Wuhan, China.	2020 Feb 13	Germany	10.1007/s00330-020-06731-x
32054798	Coronavirus not to blame for recent supply problems.	2020 Feb 15	England	10.1136/vr.m594
32054787	Prophylactic and therapeutic remdesivir (GS-5734) treatment in the rhesus macaquemodel of MERS-CoV infection.	2020 Feb 13	United States	10.1073/pnas.1922083117
32054740	Labs scramble to produce new coronavirus diagnostics.	2020 Feb 14	United States	10.1126/science.367.6479.727
32054601	Coronavirus: online GP bookings should be stopped because of safety risks, warnsBMA.	2020 Feb 13	England	10.1136/bmj.m611
32054471	Respiratory viruses in mechanically ventilated patients: a pilot study.	2020 Feb 13	England	10.1186/s12890-020-1082-5
32054124	Novel Coronavirus Outbreak in Wuhan, China, 2020: Intense Surveillance Is Vitalfor Preventing Sustained Transmission in New Locations.	2020 Feb 11	Switzerland	10.3390/jcm9020498
32054045	Initial Cluster of Novel Coronavirus (2019-nCoV) Infections in Wuhan, China IsConsistent with Substantial Human-to-Human Transmission.	2020 Feb 11	Switzerland	10.3390/jcm9020488
32053579	Persons Evaluated for 2019 Novel Coronavirus - United States, January 2020.	2020 Feb 14	United States	10.15585/mmwr.mm6906e1
