PMID	title	date	location	doi
21035159	Early gene expression events in ferrets in response to SARS coronavirus infectionversus direct interferon-alpha2b stimulation.	2011 Jan 5	United States	10.1016/j.virol.2010.10.002
21030090	Association of seropositivity for influenza and coronaviruses with history ofmood disorders and suicide attempts.	2011 Apr	Netherlands	10.1016/j.jad.2010.09.029
21028792	Importance of controlling nanotube density for highly sensitive and reliablebiosensors functional in physiological conditions.	2010 Nov 23	United States	10.1021/nn101198u
20980507	Successful vaccination strategies that protect aged mice from lethal challengefrom influenza virus and heterologous severe acute respiratory syndromecoronavirus.	2011 Jan	United States	10.1128/JVI.01805-10
20979304	[Analysis of SARS-coronavirus genome].	2010 Aug	Japan	
20978541	Unique signatures of long noncoding RNA expression in response to virus infectionand altered innate immune signaling.	2010 Oct 26	United States	10.1128/mBio.00206-10
20978536	Autocrine interferon priming in macrophages but not dendritic cells results inenhanced cytokine and chemokine production after coronavirus infection.	2010 Oct 19	United States	10.1128/mBio.00219-10
20976535	SARS-CoV nucleocapsid protein antagonizes IFN-beta response by targeting initialstep of IFN-beta induction pathway, and its C-terminal region is critical for theantagonism.	2011 Feb	United States	10.1007/s11262-010-0544-x
20966275	Morbillivirus infection in a wild siberian tiger in the Russian Far East.	2010 Oct	United States	10.7589/0090-3558-46.4.1252
20960296	Complete genomic sequence of transmissible gastroenteritis virus TS and 3' endsequence characterization following cell culture.	2010 Jun	China	10.1007/s12250-010-3108-2
20960284	Construction of mTNFR1shRNA plasmid and its biological effects on MHV-3 inducedfulminant hepatitis in BALB/cJ mice.	2010 Feb	China	10.1007/s12250-010-3072-x
20960282	Immunogenicity of the spike glycoprotein of bat SARS-like coronavirus.	2010 Feb	China	10.1007/s12250-010-3096-2
20960183	Cxcl16 interact with SARS-CoV N protein in and out cell.	2010 Oct	China	10.1007/s12250-010-3129-x
20960182	Establishment of the eukaryotic cell lines for inducible control of SARS-CoVnucleocapsid gene expression.	2010 Oct	China	10.1007/s12250-010-3124-2
20956884	Small interfering RNA effectively inhibits the expression of SARS coronavirusmembrane gene at two novel targeting sites.	2010 Oct 18	Switzerland	10.3390/molecules15107197
20951182	Construction and immunogenicity of a recombinant fowlpox vaccine coexpressing S1glycoprotein of infectious bronchitis virus and chicken IL-18.	2010 Nov 29	Netherlands	10.1016/j.vaccine.2010.09.106
20951168	Cholesterol is important for a post-adsorption step in the entry process oftransmissible gastroenteritis virus.	2010 Dec	Netherlands	10.1016/j.antiviral.2010.10.002
